"PERMIT
NUMBER",OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
AK-S-15000,GLACIER CREEK DISTILLERY LLC,,1540 N SHORELINE DR,WASILLA,AK,99654,MATANUSKA SUSITNA
AK-S-20001,"HIGH MARK DISTILLERY, INC.",,37200 THOMAS ST,STERLING,AK,99672,"KENAI PENINSULA
BUROUGH"
AK-S-20002,ROBERT BORLAND,URSA MAJOR DISTILLING,3738 MARIPOSA LN,FAIRBANKS,AK,99709,"FAIRBANKS NORTH STAR
BOROUGH"
AK-S-20003,PORT CHILKOOT DISTILLERY LLC,PORT CHILKOOT DISTILLERY,35 TOTEM ST,HAINES,AK,99827,HAINES BOROUGH
AK-S-20004,PATRICK LEVY,FAIRBANKS DISTILLING COMPANY,410 CUSHMAN ST,FAIRBANKS,AK,99701,"FAIRBANKS NORTH STAR
BOROUGH"
AK-S-20005,"BIG BEAR ENTERPRISES, LLC. URSA
MAJOR DISTILLING",URSA MAJOR DISTILLING,2922 GEORGE PARKS HWY,FAIRBANKS,AK,99709,
AK-S-20006,ANCHORAGE DISTILLERY LLC,,6310 A ST,ANCHORAGE,AK,99518,
AK-S-20008,SKAGWAY SPIRITS LLC,SKAGWAY SPIRITS LLC,941 ALASKA ST,SKAGWAY,AK,99840,SKAGWAY
AK-S-20009,ARCTIC HARVEST LLC,ARCTIC HARVEST,4753 EIELSON FARM RD,NORTH POLE,AK,99705,
AK-S-20010,HOARFROST DISTILLING LLC,,3501 LATHROP ST UNIT F,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR
AK-S-20011,AMALGA DISTILLERY LLC,,134 N FRANKLIN ST,JUNEAU,AK,99801,JUNEAU
AK-S-20012,ALASKAN SPIRITS LLC,ALASKA PROOF,7605 KING ST STE B,ANCHORAGE,AK,99518,
AK-S-20014,"COOK INLET DISTILLERY, LLC",,"6820 ROSEWOOD ST UNIT
3",ANCHORAGE,AK,99518,ANCHORAGE
AK-S-20015,"UNCHARTED ALASKA DISTILLERY, LLC",UNCHARTED ALASKA DISTILLERY,319 MAIN ST,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY
AK-S-20016,"ALASKAN BREWING, LLC",ALASKAN DISTILLING CO.,5433 SHAUNE DR,JUNEAU,AK,99801,
AK-S-20017,"ALASKAN BREWING, LLC",ALASKAN DISTILLING CO.,5366 COMMERCIAL BLVD,JUNEAU,AK,99801,"CITY AND BOROUGH OF
JUNEAU"
AK-S-20018,"MIDNIGHT SUN BREWING, LLC.",MIDNIGHT SUN BREWING,8111 DIMOND HOOK DR,ANCHORAGE,AK,99507,ANCHORAGE
AK-S-20019,"KODIAK ISLAND BREWING COMPANY,
LLC",KODIAK ISLAND STILL,117 LOWER MILL BAY RD,KODIAK,AK,99615,
AK-S-20020,"MATANUSKA BREWING COMPANY, LLC",,513 S VALLEY WAY,PALMER,AK,99645,MATANUSKA SUSITNA
AK-S-20022,"TWISTER CREEK, INC.",DENALI SPIRITS AND DISTILLERY,"37083 S TALKEETNA SPUR
RD",TALKEETNA,AK,99676,MATANUSKA SUSITNA
AL-S-20001,"HIGH RIDGE SPIRITS, LLC.",HIGH RIDGE SPIRITS LLC,1401 HUNTSVILLE RD,FLORENCE,AL,35630,LAUDERDALE
AL-S-20002,"MAD COUNTY WINERY, LLC",,"121 CASTLE DR, NW STE D",HUNTSVILLE,AL,35758,MADISON
AL-S-20003,"JOHN EMERALD DISTILLING COMPANY
LLC",JOHN EMERALD DISTILLING COMPANY,706 N RAILROAD AVE,OPELIKA,AL,36801,LEE
AL-S-20004,"BIG ESCAMBIA SPIRITS, LLC",,1185 GOAT FEATHERS LN,ATMORE,AL,36502,ESCAMBIA
AL-S-20005,BLUE PANTS BREWERY LLC,,500 LANIER RD BLDG 1,MADISON,AL,35758,USA
AL-S-20006,"KEEL & CO. DISTILLING, INC.",,119 W CHURCH ST,HEADLAND,AL,36345,HENRY
AL-S-20007,"IRONS DISTILLERY, LLC",,"2211 SEMINOLE DR STE
2061",HUNTSVILLE,AL,35805,MADISON
AL-S-20008,"REDMONT DISTILLING COMPANY, LLC",REDMONT DISTILLING COMPANY LLC,4550 5TH AVE S BLDG N,BIRMINGHAM,AL,35222,JEFFERSON
AL-S-20009,1185 LLC,PS DISTILLING CO,"3024 3RD AVE, S",BIRMINGHAM,AL,35233,JEFFERSON
AL-S-20010,"OLD BLACK BEAR BREWING COMPANY
LLC",,212 MAIN ST,MADISON,AL,35758,MADISON
AL-S-20013,"WOLF CREEK DISTILLERIES, L.L.C.",,25020 STATE ST,ELBERTA,AL,36530,BALDWIN
AL-S-20015,"STRAIGHT TO ALE BRANDS, INC.",,2610 CLINTON AVE NW,HUNTSVILLE,AL,35805,MADISON
AL-S-20016,"SOUTHEAST WINE, LLC",YH SPIRITS,173 HIGHWAY 301,CALERA,AL,35040,USA
AL-S-20018,"SINGIN' RIVER BREWING COMPANY, LLC",,526 E COLLEGE ST,FLORENCE,AL,35630,LAUDERDALE
AL-S-20019,"DAWSON DISTILLERY, LLC",,"1022 LAGRANGE COLLEGE
LN",LEIGHTON,AL,35646,COLBERT
AL-S-20020,"BACK FORTY BEER COMPANY, LLC",BACK FORTY BEER COMPANY,200 N 6TH ST,GADSDEN,AL,35901,ETOWAH
