owner_name,operating_name,permit_number,street,city,state,zip,county,latitude,longitude
"WEST OVERTON DISTILLING,  LLC",,PA-S-15014,109 W OVERTON RD,SCOTTDALE,PA,15683,WESTMORELAND,40.4507364,-80.0248219
"SALEM SPIRITS, LLC",,PA-S-15017,2662 ROUTE 819,GREENSBURG,PA,15601,WESTMORELAND,40.4507364,-80.0248219
TATTERED FLAG STILL WORKS LLC,TATTERED FLAG STILL WORKS,PA-S-20059,5 S UNION ST,MIDDLETOWN,PA,17057,DAUPHIN,40.263234,-76.86902767993698
"DEAD LIGHTNING DISTILLERY, LLC",DEAD LIGHTNING DISTILLERY,PA-S-20066,233 PLUM ST,LEMOYNE,PA,17043,CUMBERLAND,40.2509454,-76.8656711
"STRANGE QUARK DISTILLING, LLC",QUANTUM SPIRITS,PA-S-20076,230 E MAIN ST UNIT 200,CARNEGIE,PA,15106,,40.5046929,-75.78883855000001
REVEL SPIRITS LLC,NOMAD DISTILLING CO.,PA-S-20091,5451 STATE ROUTE 654,WILLIAMSPORT,PA,17702,LYCOMING,40.7918702,-76.5594403
"THE EXPERT GROUP, LTD",RAMHORN DISTILLERY,PA-S-20121,101 W DUBOIS AVE,DUBOIS,PA,15801,CLEARFIELD,34.78517,-86.8328980579603
"NOBLE DISTILLING COMPANY, LLC",NOBLE DISTILLING COMPANY,PA-S-20131,1115 BERN RD,WYOMISSING,PA,19611,BERKS,40.56312815,-76.0008198
STRIVERS' ROW DISTILLERY LTD,,PA-S-20157,3401 I ST UNIT 306,PHILADELPHIA,PA,19134,PHILADELPHIA,39.9635057,-75.174758
2 D DISTILLERY LLC,2 D DISTILLERY,PA-S-20169,196 DOE RUN RD,MANHEIM,PA,17545,LANCASTER,40.158098800000005,-76.38157167038122
"CRICK LIQUORS DISTILLERY, LLC",CRICK LIQUORS DISTILLERY,PA-S-20180,139 W FAYETTE ST,UNIONTOWN,PA,15401,FAYETTE,40.4507364,-80.0248219
"DERO SPIRITS, LLC",DERO PREMIUM CELLO,PA-S-20191,411 DEPOT ST,BRIDGEPORT,PA,19405,,40.0798858,-75.3563054
YARDLEY LOBSTER LLC,YARDLEY DISTILLERY,PA-S-20199,35 S MAIN ST,YARDLEY,PA,19067,BUCKS,40.17770885,-74.76271348259363
MADNESS DISTILLERY LLC,,PA-S-20224,526 MARION LN,BRODHEADSVILLE,PA,18322,USA,40.8148503,-75.7323622
"LOVE, KATIE DISTILLING LLC",,PA-S-20235,816 MAIN ST,SHARPSBURG,PA,15215,ALLEGHENY,40.4507364,-80.0248219
SUSTAINABLE STILL LLC,,PA-S-20244,277 SHARIE ST,PHILIPSBURG,PA,16866,CENTRE,44.289627,-70.042577
"ALAMO PREMIUM DISTILLERY, INC.",ALAMO DISTILLING COMPANY,TX-S-20045,2030 E HOUSTON ST,SAN ANTONIO,TX,78202,BEXAR,29.415193000000002,-98.45615316503668
"JOHNSON COUNTY DISTILLERY, LLC",JOHNSON COUNTY DISTILLERY,TX-S-20057,1655 S MAIN ST,CLEBURNE,TX,76033,JOHNSON,32.33913475,-97.41274448534242
SOUTH TEXAS DISTILLERY LLC,SOUTH TEXAS DISTILLERY,TX-S-20072,642 FM 1540,SANDIA,TX,78383,JIM WELLS,27.853936500000003,-97.63127289579111
"MOONSHINE RIDGE, INC.",,TX-S-20074,104 E PECAN ST,JOHNSON CITY,TX,78636,BLANCO,30.600087199999997,-98.2696350614643
ROBERT W. SANGIOVANNI,SANGIOVANNI DISTILLERY,TX-S-20076,4701 PRIEM LN STE 3B,PFLUGERVILLE,TX,78660,TRAVIS,30.45169125,-97.60610054171131
"RUMINATE DISTILLING, L.L.C.",ISLAND GETAWAY RUM,TX-S-20090,231 FROG POND LN,DRIPPING SPRINGS,TX,78620,HAYS,30.0880604,-97.82334800199865
HAMPSHIRE HILLS DISTILLERY LLC,HAMPSHIRE HILLS DISTILLERY,TN-S-20136,457 OVERHEAD BRIDGE RD,HAMPSHIRE,TN,38461,LEWIS,35.2033805,-87.0600654
SAND CREEK DISTILLERY LTD.,SAND CREEK DISTILLERY,CO-S-20062,324 5TH ST STE A,HUGO,CO,80821,LINCOLN,39.35983025,-104.62028488106705
OAKLORE DISTILLING COMPANY LLC,,NC-S-20120,11136 MONROE RD,MATTHEWS,NC,28105,MECKLENBURG,35.38989575,-80.71022221657768
NOAH SPIRITS LLC,MANATAWNY STILL WORKS,PA-S-20010,320 CIRCLE OF PROGRESS DR STE 103 & 104,POTTSTOWN,PA,19464,MONTGOMERY,40.1299964,-75.5412032
"SWEET GRACE DISTILLING CO., LLC",FEDERAL DISTILLING,PA-S-20025,161 CECIL B MOORE AVE UNIT 103,PHILADELPHIA,PA,19122,PHILADELPHIA,39.97765425,-75.17396155
"FIREWALKER'S SMALL BATCH DISTILLERY, LLC",TRIPLE SUN SPIRITS COMPANY,PA-S-20040,518 BANK ST UNIT A,EMMAUS,PA,18049,LEHIGH,40.55703389999999,-75.39867520893372
PHILADELPHIA WHISKEY COMPANY,,PA-S-20108,161-73 CECIL B. MOORE AVE STE C-2,PHILADELPHIA,PA,19122,,39.97765425,-75.17396155
"EMOTIONAL WELLNESS COUNSELING, LLC",HILLBILLY HOOCH,PA-S-20129,2481 LANCASTER PIKE,READING,PA,19607,,40.56312815,-76.0008198
"HIDDEN STILL, INC.",HIDDEN STILL SPIRITS,PA-S-20144,"505 W CHOCOLATE AVE., REAR BLDG B",HERSHEY,PA,17033,DAUPHIN,40.2509454,-76.8656711
NEW CASTLE UNION STATION CRAFT DISTILLERY INC,NEW CASTLE UNION STATION CRAFT DISTILLERY,PA-S-20206,334 E WASHINGTON ST,NEW CASTLE,PA,16101,,40.680160650000005,-80.11394066706241
BREAKER BREWING COMPANY,BREAKER DISTILLING COMPANY,PA-S-20251,787 EAST NORTHAMPTON ST,WILKES-BARRE TWP,PA,18702,LUZERNE,41.2468002,-75.8739505
PHILADELPHIA DISTILLING LLC,,PA-S-15000,1000-1052 FRANKFORD AVE,PHILADELPHIA,PA,19123,PHILADELPHIA,39.9635057,-75.174758
CHICKEN HILL DISTILLERY AND BREWING LLC,CHICKEN HILL DISTILLERY & BREWING,PA-S-20080,277 FAIRVIEW RD,KERSEY,PA,15846,ELK,44.289627,-70.042577
